pdb,mhc_class,mhc_1_species,replication,job_name,iptm,ptm,ranking_score
6avf,I,human,true,399ca62e2d74dfe34aa13b411d85e9d6,0.5099999904632568,0.6000000238418579,0.5799999833106995
5nht,I,human,true,08cd5fe64db69cf10a94e1432bafe686,0.8999999761581421,0.8999999761581421,0.9200000166893005
3tpu,I,mouse,true,5e0df1a097e4aa67bfedff6c3d50fd27,0.8799999952316284,0.8899999856948853,0.8999999761581421
4p2o,II,mouse,true,817759ba776138bd1ab4cdcb4e75c975,0.8600000143051147,0.8700000047683716,0.9300000071525574
8i5c,I,human,false,3dad0fd6a6e0ce25e4106fda13a57abe,0.8299999833106995,0.8600000143051147,0.8500000238418579
4e41,II,human,true,ede489eca3223add3c0f6f3fe7c0ac21,0.8799999952316284,0.8899999856948853,0.8999999761581421
6am5,I,human,true,88c4ded60565c1a837b8043be3f7f85f,0.9100000262260437,0.9200000166893005,0.9200000166893005
3kpr,I,human,true,c05c1a21eb12afd64036096571077d67,0.9100000262260437,0.9300000071525574,0.9200000166893005
5ks9,II,human,true,37f9991982382eeff8df10a51cdc5302,0.8799999952316284,0.8600000143051147,0.9300000071525574
1kj2,I,mouse,true,bdf5f09041d53ff9348dc8354e448186,0.8799999952316284,0.8899999856948853,0.8899999856948853
6rpb,I,human,true,ef0536331ca827c84fa74f72979c36cb,0.5600000023841858,0.6499999761581421,0.5899999737739563
6uon,I,human,true,b488b22e9b55dfb1547da30022c2b00d,0.8100000023841858,0.8399999737739563,0.8199999928474426
1zgl,II,human,true,19436c183927325d35b5b7411776490f,0.7900000214576721,0.8299999833106995,0.8199999928474426
3pqy,I,mouse,true,805ae78dfa150424212302ed5512ae08,0.8199999928474426,0.8600000143051147,0.8299999833106995
6avg,I,human,true,1e75e0c6462671027fbf3e7764c91223,0.8399999737739563,0.8299999833106995,0.8999999761581421
4z7u,II,human,true,57e9fef25d478b8cd29022c80b471bf7,0.8799999952316284,0.8799999952316284,0.9300000071525574
3pwp,I,human,true,75033dc4220400a42816a3d7470a4531,0.9300000071525574,0.9399999976158142,0.9399999976158142
7n6e,I,human,true,e92c5456d5b991bd516b7bf1c0c83e35,0.8899999856948853,0.8999999761581421,0.8999999761581421
8wul,I,human,false,404f58ae3d26a08ecc8bd707789d01d4,0.7900000214576721,0.8299999833106995,0.8100000023841858
3dxa,I,human,true,96df23ccc4d336b5ecc4c033390e76a7,0.8199999928474426,0.8500000238418579,0.8299999833106995
6rp9,I,human,true,c874eda106179b27d61348b755743159,0.5799999833106995,0.6499999761581421,0.6000000238418579
4mji,I,human,true,63af3b7cef5861cb92c7aeb123078efb,0.9100000262260437,0.9100000262260437,0.9100000262260437
6vmx,I,human,true,0180aa65c714914412c99f5b23eeccdd,0.8999999761581421,0.9100000262260437,0.9100000262260437
4h1l,II,human,true,1467fb9afa09dace40baa5d627a801dc,0.9300000071525574,0.9300000071525574,0.9399999976158142
6bj2,I,human,true,9bbaf3146733367b236f14fa28ccd768,0.8799999952316284,0.8999999761581421,0.8899999856948853
3qdm,I,human,true,56c3ba8fcd29e3a7c2baf88005997a02,0.8600000143051147,0.8700000047683716,0.8700000047683716
8en8,I,human,false,d90f97e75ddd577b7d82f7d1b729d50f,0.8799999952316284,0.8899999856948853,0.8899999856948853
5c07,I,human,true,dcc9a6ee8ef25c11b8351ffe600e6567,0.9100000262260437,0.9200000166893005,0.9100000262260437
6vqo,I,human,true,0860b08103788272367d8f836f2270b7,0.8600000143051147,0.8799999952316284,0.8799999952316284
1j8h,II,human,true,76df88db619e4c8301946482d0258c95,0.8799999952316284,0.8999999761581421,0.8999999761581421
8enh,I,human,false,b093517b1cc89f77734e54d40b30ca85,0.8999999761581421,0.9100000262260437,0.8999999761581421
3utt,I,human,true,7c094d156b9bddc827746ca5d9f39b4a,0.8999999761581421,0.9200000166893005,0.9100000262260437
7q99,I,human,false,62f1b197f4b0555c27ac38c5496ffdfa,0.8600000143051147,0.8700000047683716,0.8700000047683716
4gg6,II,human,true,b5ec30ac0b4c692dfe9e87af386815a8,0.8799999952316284,0.8899999856948853,0.9300000071525574
3qiu,II,mouse,true,34cd94e7a475a777e50d86a7e8171cdb,0.8799999952316284,0.8799999952316284,0.8999999761581421
6vrn,I,human,true,65f97ab883423073475f158b46e3ac5c,0.6600000262260437,0.7300000190734863,0.6899999976158142
5d2n,I,human,true,776301ffc0fde8f1d4fe83bd7f50ed0f,0.7400000095367432,0.7900000214576721,0.7599999904632568
5ksa,II,human,true,964fd9ba182de8b9098ec825b4565570,0.8500000238418579,0.8500000238418579,0.8999999761581421
6mtm,I,human,true,1e2f70e91c8b2d204ab7d420da955a8a,0.8999999761581421,0.9100000262260437,0.9100000262260437
4z7v,II,human,true,2eea29073169046664ee5b26b8d7911b,0.8799999952316284,0.8799999952316284,0.9300000071525574
5bs0,I,human,true,fb5f870f6de7a25ad6e717e51c3f7748,0.8999999761581421,0.9100000262260437,0.9100000262260437
4p2r,II,mouse,true,9cc37e276b5f586187992bff648f7a8f,0.8700000047683716,0.8700000047683716,0.9200000166893005
4p2q,II,mouse,true,ea34cc4c78cb978a7c6d3d85e6b34f52,0.8700000047683716,0.8700000047683716,0.9200000166893005
8dnt,I,human,false,59acb5477505053567be60b57e5f3b65,0.8999999761581421,0.9100000262260437,0.9100000262260437
5e6i,I,human,true,e9832c8ad0c064a3eab06b9646d44df6,0.7599999904632568,0.8100000023841858,0.7799999713897705
3kps,I,human,true,4b382ed7f18df21603cae5ba827fccf4,0.9200000166893005,0.9300000071525574,0.9300000071525574
2bnr,I,human,true,d5721bea430f5ca1d86fa58f78b17637,0.8999999761581421,0.9100000262260437,0.9100000262260437
6cql,II,human,true,2e39b619e57b31378d6bc0cc68834ae9,0.9300000071525574,0.9399999976158142,0.9399999976158142
5c09,I,human,true,17c45215a25c7ea7a36697c862ecc882,0.8999999761581421,0.9100000262260437,0.9100000262260437
4mxq,I,mouse,true,d39597f736a175e4171f2fa0fb448317,0.9100000262260437,0.9100000262260437,0.9300000071525574
3sjv,I,human,true,c854b8291ed2e4ea245a6551c71e1a7b,0.8799999952316284,0.8899999856948853,0.8899999856948853
5c0a,I,human,true,62b106b2429df88b17c71c32af99456b,0.8899999856948853,0.9100000262260437,0.8999999761581421
8es9,I,human,false,b8c8ce87c2ccf49f90ed895c6f40154a,0.5699999928474426,0.6399999856948853,0.6600000262260437
1g6r,I,mouse,true,277b70185045869f93600855fb86c894,0.8799999952316284,0.8999999761581421,0.8999999761581421
5d2l,I,human,true,8a30b2ac290620d70cf7d5eb6a341e7f,0.6600000262260437,0.699999988079071,0.6800000071525574
5wlg,I,mouse,true,cd0c7ebb5326d63d3a57b71380270760,0.8299999833106995,0.8500000238418579,0.8399999737739563
5nmg,I,human,true,07e9f550720d885a93f528bd8ef44fa8,0.9100000262260437,0.9200000166893005,0.9200000166893005
3mbe,II,mouse,true,8e19c8a6b55792a98c6ed84d02074370,0.8600000143051147,0.8600000143051147,0.9200000166893005
8trr,II,human,false,726165d7544d88090f5bc381772354bf,0.8899999856948853,0.8999999761581421,0.8999999761581421
2ol3,I,mouse,true,05ce645063c39c5ba48b642073df495c,0.8500000238418579,0.8700000047683716,0.8700000047683716
3vxm,I,human,true,c7d998b59a8543d7d9dd1fa06c1782fa,0.6600000262260437,0.7200000286102295,0.6800000071525574
2ypl,I,human,true,931b40eead9b3d840423406886e31b15,0.8799999952316284,0.8899999856948853,0.8899999856948853
8wte,I,human,false,13f7a9410810562e44920fa041315954,0.75,0.7900000214576721,0.7599999904632568
1oga,I,human,true,b8684859422e685d77ad115d940e0c04,0.8700000047683716,0.8899999856948853,0.8999999761581421
3qdg,I,human,true,c61c6942aec4f95f5000cdfefc1326d7,0.9300000071525574,0.9300000071525574,0.9300000071525574
8ye4,I,human,false,6899d34d074bdb896dbde93243ae7310,0.7599999904632568,0.8100000023841858,0.7799999713897705
5m02,I,mouse,true,ba4a504e4bc643aaef788f9e776664db,0.8700000047683716,0.8799999952316284,0.8999999761581421
3tfk,I,mouse,true,7383d9c9aae5a218010b1be908d063de,0.9100000262260437,0.9100000262260437,0.9200000166893005
5ksb,II,human,true,fe1ed08c44165f9f44048de95567ebd5,0.8799999952316284,0.8600000143051147,0.9200000166893005
7q9a,I,human,false,612461c62c67feb763ab576c7bb8af63,0.8700000047683716,0.8799999952316284,0.8799999952316284
5c08,I,human,true,1f3b3c83f10fe434d3ed9a2aac42426c,0.9100000262260437,0.9300000071525574,0.9200000166893005
3hg1,I,human,true,53945c9a940ab0cce8116341bf92a4ed,0.8700000047683716,0.8899999856948853,0.8799999952316284
8i5d,I,human,false,55461d93e2317bf4eecc407caf39103e,0.8299999833106995,0.8500000238418579,0.8399999737739563
5jhd,I,human,true,bc86f925004666878838e160cb20da22,0.7699999809265137,0.8100000023841858,0.7799999713897705
7jwj,I,mouse,true,7f4b0f1dd8f99a68601d93e79d973847,0.6700000166893005,0.7200000286102295,0.75
6py2,II,human,true,4c359b8926b0d258e209c5555ec39c94,0.5699999928474426,0.6299999952316284,0.6600000262260437
4eup,I,human,true,980671c28e640c5e24bb57aacb27440e,0.8899999856948853,0.8999999761581421,0.8999999761581421
7n1e,I,human,true,66588fb6f41c42796a59e21f801dccc1,0.8500000238418579,0.8700000047683716,0.8600000143051147
5isz,I,human,true,2dc78ab08b7fb39f0b72bbd2f09e17e5,0.8700000047683716,0.8899999856948853,0.8799999952316284
6u3n,II,human,true,900f8132e41f6ea7b5b33fe325630a79,0.7900000214576721,0.8100000023841858,0.8399999737739563
6rsy,I,human,true,0b32089b5c9ad675e4cadfac80e8e42c,0.8899999856948853,0.9100000262260437,0.9100000262260437
4mvb,I,mouse,true,4ecf76dd03e7ab8440feec3336c5d9ea,0.8999999761581421,0.8999999761581421,0.9100000262260437
1mi5,I,human,true,72a8e71c098925fa760e06cc63aa2ef3,0.8899999856948853,0.9100000262260437,0.8999999761581421
3vxs,I,human,true,81926c1d318e57bbee02e0aade2dcafe,0.8999999761581421,0.9100000262260437,0.9100000262260437
8gom,I,human,false,8724e5dc4d0df56b9310b074f1cf3e5e,0.7699999809265137,0.8100000023841858,0.7900000214576721
1d9k,II,mouse,true,deea7d9b9057902cad9e999d5d7df51b,0.9200000166893005,0.9300000071525574,0.9399999976158142
4n0c,I,mouse,true,57c8f86a9eb57c8a9f37028ad3c50c39,0.9100000262260437,0.8999999761581421,0.9200000166893005
5c0b,I,human,true,3e76347df6b364d2e2069393b5e41f1b,0.9100000262260437,0.9200000166893005,0.9200000166893005
1mwa,I,mouse,true,7299a76d2cad5d41029bb7ca139062ba,0.8799999952316284,0.8999999761581421,0.8899999856948853
6rpa,I,human,true,4048d450da52b964383614b88c3c5e12,0.8899999856948853,0.8999999761581421,0.8999999761581421
7n1f,I,human,true,2cb8eac025a7f79266dba7b2f6542c5f,0.8199999928474426,0.8500000238418579,0.8299999833106995
5c0c,I,human,true,1f258846805df2ff13e55c952e940d21,0.8999999761581421,0.9200000166893005,0.9100000262260437
4n5e,I,mouse,true,3d38aa467422432c05eae8d851e69336,0.8999999761581421,0.8999999761581421,0.9200000166893005
4jrx,I,human,true,d9194c7792356a4f8a1aae2c23658109,0.9100000262260437,0.9200000166893005,0.9200000166893005
1nam,I,mouse,true,0d046784a09c8683597b7ffbf32324a8,0.8700000047683716,0.8799999952316284,0.8799999952316284
8pjg,II,human,false,7ed224bf27775709b488a69d90cbe54e,0.8999999761581421,0.8999999761581421,0.9200000166893005
8vcx,II,human,false,98daa70e8e2597cfecfacfff18353f28,0.8799999952316284,0.8999999761581421,0.9100000262260437
3o4l,I,human,true,1787ab14c4b06ade0ed7603ae5fa3391,0.9100000262260437,0.9200000166893005,0.9200000166893005
8gon,I,human,false,612142b21e38127bab9e363c4d0eb8ee,0.8100000023841858,0.8399999737739563,0.8199999928474426
6g9q,I,mouse,true,c11c725272e7d7328e4349446b16b215,0.8700000047683716,0.8700000047683716,0.8999999761581421
2oi9,I,mouse,true,3edd3858795f29e110be542677f04eb2,0.9200000166893005,0.9200000166893005,0.9399999976158142
8f5a,I,human,false,2189f00834a936e6efea39cd61ca41f8,0.75,0.800000011920929,0.7699999809265137
3mv7,I,human,true,d6fd7d656e1ea2319dacf77b6c9fca99,0.8899999856948853,0.8999999761581421,0.8999999761581421
8vd2,II,human,false,df790dd4eb9a5164bc3171d1ce5f7065,0.8799999952316284,0.8899999856948853,0.9100000262260437
8vcy,II,human,false,e6da04b0f02efa07a5e1795130328a12,0.8799999952316284,0.8899999856948853,0.9100000262260437
5yxn,I,human,true,204230634f5a1508c7b504b8bd4f3f0b,0.9100000262260437,0.9200000166893005,0.9200000166893005
5e9d,I,human,true,c96440ae3c6acd523d7a82b04b3674ad,0.8299999833106995,0.8700000047683716,0.8899999856948853
6amu,I,human,true,f0d3543c4e85aa9141a6826400fb5a2c,0.9200000166893005,0.9200000166893005,0.9300000071525574
5brz,I,human,true,eefc7e74a2abc77fb3caf6c4bd932ea8,0.9100000262260437,0.9100000262260437,0.9100000262260437
3h9s,I,human,true,3f316ee3f6dcac745e5443723321b303,0.9300000071525574,0.9300000071525574,0.9300000071525574
5ivx,I,mouse,true,1d3c2889f46ea790c30cf25cbca3dd9a,0.7400000095367432,0.7799999713897705,0.7599999904632568
2iam,II,human,true,2a5f2fc8cd21e390abbeefddbfb22c89,0.8700000047683716,0.8899999856948853,0.8899999856948853
6u3o,II,human,true,cbfbd4f631800c9fd1fe571961cd7fb2,0.8600000143051147,0.8700000047683716,0.9100000262260437
5nme,I,human,true,c46e8c5ce0c03b1ffccefbf9c904d748,0.9100000262260437,0.9200000166893005,0.9200000166893005
4g9f,I,human,true,e4b5f5d3fe2db2bca11a951f2b263c2e,0.550000011920929,0.6399999856948853,0.5799999833106995
3qib,II,mouse,true,b489849c25dae3cc8563dcb75eab006a,0.8600000143051147,0.8700000047683716,0.8999999761581421
5tez,I,human,true,aab2bcbf77a81c1d9d2335c87adf30d9,0.8799999952316284,0.8899999856948853,0.8799999952316284
6px6,II,human,true,5075ee2fbedf90b5ae427ff06b683e03,0.8299999833106995,0.8299999833106995,0.9200000166893005
1u3h,II,mouse,true,d2bdbb1c12b591e948cdc021b1d0005c,0.9399999976158142,0.9399999976158142,0.9599999785423279
2z31,II,mouse,true,9215b5a4dadfa58a2c3c5ae7b439d46c,0.9399999976158142,0.9399999976158142,0.949999988079071
6tro,I,human,true,a484b16662afe2f5aff2c7c5fc38c2b9,0.8700000047683716,0.8899999856948853,0.8899999856948853
1bd2,I,human,true,d56673afb5c30801f4b7623ffa3dec14,0.8299999833106995,0.8600000143051147,0.8500000238418579
3ffc,I,human,true,e921e1b6618eb9be734ef0dd9f77e682,0.8999999761581421,0.9200000166893005,0.9100000262260437
1fo0,I,mouse,true,4b929544c778dc7f26f29750fef42c36,0.8999999761581421,0.9100000262260437,0.9100000262260437
6vrm,I,human,true,0be58ecda3b11af9997439f943393366,0.7599999904632568,0.7900000214576721,0.7799999713897705
3gsn,I,human,true,907661161bb46b0000adaa5160c01a63,0.6899999976158142,0.7400000095367432,0.7099999785423279
4ozf,II,human,true,d93006b1f8486fa30c1801fca9df94e0,0.8799999952316284,0.8799999952316284,0.9200000166893005
5men,I,human,true,db1b44fcf2b83be55e8ecc71b900486e,0.8899999856948853,0.8999999761581421,0.8999999761581421
1ao7,I,human,true,c567370637b2e928683fece893312920,0.9300000071525574,0.9300000071525574,0.9399999976158142
6l9l,I,mouse,true,00d671d629eff4094fee1be3c7f4da77,0.8700000047683716,0.8899999856948853,0.8799999952316284
